%,deduction,Single/Maried,,ME1/S1,,ME2/S2,,ME3/S3,,ME4/S4,,,,,,,,,,,,,
0.5,0,1,165,1,248,1,330,1,413,1,495,,,,,,,,,,,,
0.1,1.65,166,198,249,281,331,363,414,446,496,528,,,,,,,,,,,,
0.15,8.25,199,264,282,347,364,429,447,512,529,594,,,,,,,,,,,,
0.2,28.05,265,396,348,479,430,561,513,644,595,726,,,,,,,,,,,,
0.25,74.26,397,627,480,710,562,792,645,875,727,957,,,,,,,,,,,,
0.3,165.02,628,990,711,1073,793,1155,876,"1,238",958,1320,,,,,,,,,,,,
0.32,412.54,991,1815,1074,1898,1156,1980,"1,239","2,063",1321,2145,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
0.5,0,1,2083,1,3125,1,4167,1,5208,1,6250,,,,,,,,,,,,
0.1,20.83,2082,2500,3124,3542,4166,4583,5207,5625,6249,6667,,,,,,,,,,,,
0.15,104.17,2499,3333,3541,4375,4582,5417,5624,6458,6666,7500,,,,,,,,,,,,
0.2,354.17,3332,5000,4374,6042,5416,7083,6457,8125,7499,9167,,,,,,,,,,,,
0.25,937.5,4999,7917,6041,8958,7082,10000,8124,11042,9166,12083,,,,,,,,,,,,
0.3,2083.33,7916,12500,8957,13542,9999,14583,11041,15625,12082,16667,,,,,,,,,,,,
0.32,5208.33,12499,22917,13541,23958,14582,25000,15624,26042,16666,27083,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
