%,deduction,Single/Maried,,ME1/S1,,ME2/S2,,ME3/S3,,ME4/S4,,,,,,,,
0,0,1,4166,1,6249,1,8332,1,10416,1,12499,,,,,,,
0.05,41.67,4167,4999,6250,7082,8333,9166,10417,11249,12500,13332,,,,,,,
0.1,208.33,5000,6666,7083,8749,9167,10832,11250,12916,13333,14999,,,,,,,
0.15,708.33,6667,9999,8750,12082,10833,14166,12917,16249,15000,18332,,,,,,,
0.2,1875,10000,15832,12083,17916,14167,19999,16250,22082,18333,24166,,,,,,,
0.25,4166.67,15833,24999,17917,27082,20000,29166,22083,31249,24167,33332,,,,,,,
0.3,10416.67,25000,45832,27083,47916,29167,50000,31250,52083,33333,54167,,,,,,,
0.32,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
